date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-2,-7,0.0,8.7,2,2,31,11:09 AM,10:53 PM,08:20 AM,05:45 PM,-17,-10,-5,-10,24,11,40,0.0,1024,-2,10,298,17
2009-01-02,1,-5,0.0,7.0,2,2,38,11:31 AM,11:56 PM,08:20 AM,05:46 PM,-7,-5,-1,-5,23,39,63,0.0,1014,1,10,211,13
2009-01-03,4,-3,0.0,8.7,2,2,45,11:54 AM,No moonset,08:20 AM,05:47 PM,-6,-4,0,-4,25,2,65,0.0,1017,4,10,287,15
2009-01-04,5,-4,0.0,8.7,2,2,52,12:18 PM,01:01 AM,08:20 AM,05:48 PM,-8,-3,0,-3,18,23,56,0.0,1020,5,10,270,11
2009-01-05,8,2,0.0,8.7,2,2,60,12:47 PM,02:10 AM,08:20 AM,05:49 PM,2,2,4,2,16,38,85,0.0,1015,8,9,281,9
2009-01-06,2,1,0.1,5.2,2,2,67,01:21 PM,03:22 AM,08:20 AM,05:50 PM,-3,-1,2,-1,18,68,70,0.1,1015,2,9,91,11
2009-01-07,6,3,0.0,3.5,1,1,74,02:05 PM,04:37 AM,08:20 AM,05:50 PM,4,1,4,1,23,96,95,0.2,995,6,4,140,14
2009-01-08,4,-2,0.0,8.7,2,2,82,03:00 PM,05:53 AM,08:20 AM,05:51 PM,-2,-4,1,-4,37,21,78,0.0,1000,4,10,259,22
2009-01-09,2,-3,0.0,7.0,2,2,89,04:08 PM,07:02 AM,08:20 AM,05:52 PM,-8,-6,-1,-6,25,32,59,0.0,1018,2,10,284,17
2009-01-10,1,-3,0.0,5.2,1,1,96,05:25 PM,08:01 AM,08:20 AM,05:53 PM,-4,-4,-0,-4,15,77,79,0.4,1022,1,9,134,10
2009-01-11,3,-4,0.0,3.5,1,1,100,06:45 PM,08:48 AM,08:19 AM,05:54 PM,-2,-4,-0,-4,22,73,89,0.7,1013,3,7,282,14
2009-01-12,2,-4,0.0,8.7,2,2,89,08:03 PM,09:27 AM,08:19 AM,05:55 PM,-8,-6,-2,-6,16,27,66,0.0,1023,2,10,295,11
2009-01-13,4,-3,0.0,8.7,2,2,82,09:19 PM,09:58 AM,08:19 AM,05:57 PM,-2,-2,1,-2,17,22,80,0.0,1018,4,10,163,9
2009-01-14,1,-6,0.0,8.7,2,2,75,10:29 PM,10:25 AM,08:18 AM,05:58 PM,-14,-8,-4,-8,20,17,47,0.0,1019,1,10,283,14
2009-01-15,-4,-7,0.0,3.5,1,1,68,11:37 PM,10:49 AM,08:18 AM,05:59 PM,-12,-10,-5,-10,20,68,57,0.0,1023,-4,10,221,14
2009-01-16,-8,-11,0.0,9.8,2,2,60,No moonrise,11:14 AM,08:18 AM,06:00 PM,-19,-17,-9,-17,25,9,46,0.0,1034,-8,10,290,18
2009-01-17,-6,-13,0.0,8.3,2,2,53,12:43 AM,11:38 AM,08:17 AM,06:01 PM,-20,-14,-9,-14,14,30,43,0.0,1033,-6,10,239,10
2009-01-18,2,-5,0.0,8.3,1,1,46,01:48 AM,12:05 PM,08:17 AM,06:02 PM,-7,-3,-1,-3,12,76,64,0.1,1015,2,10,166,7
2009-01-19,1,-4,0.0,8.3,2,2,38,02:51 AM,12:36 PM,08:16 AM,06:03 PM,-4,-5,-2,-5,13,44,84,0.0,1005,1,10,232,8
2009-01-20,-2,-7,0.0,9.9,2,2,31,03:54 AM,01:12 PM,08:16 AM,06:04 PM,-8,-10,-5,-10,24,10,78,0.0,1007,-2,10,329,16
