date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-3,-9,0.0,8.7,2,2,31,11:08 AM,10:51 PM,08:20 AM,05:41 PM,-14,-13,-6,-13,28,21,54,0.0,1023,-3,10,304,20
2009-01-02,-0,-7,0.3,5.2,1,1,38,11:29 AM,11:55 PM,08:21 AM,05:42 PM,-8,-7,-2,-7,22,59,69,0.3,1014,-0,9,221,13
2009-01-03,3,-3,0.0,8.7,2,2,45,11:52 AM,No moonset,08:21 AM,05:43 PM,-5,-6,-1,-6,32,3,72,0.0,1016,3,10,290,20
2009-01-04,5,-5,0.0,8.7,2,2,52,12:15 PM,01:00 AM,08:21 AM,05:44 PM,-9,-5,-1,-5,22,17,55,0.0,1019,5,10,278,13
2009-01-05,7,0,0.0,8.7,2,2,60,12:43 PM,02:09 AM,08:21 AM,05:45 PM,1,0,3,0,18,37,85,0.1,1015,7,9,287,11
2009-01-06,1,-1,0.2,5.2,2,2,67,01:18 PM,03:23 AM,08:21 AM,05:46 PM,-5,-3,0,-3,15,57,69,1.7,1016,1,10,133,10
2009-01-07,4,1,0.0,3.5,1,1,74,02:01 PM,04:38 AM,08:20 AM,05:47 PM,2,-1,3,-1,28,90,96,11.9,995,4,8,142,17
2009-01-08,2,-2,0.0,3.5,2,2,82,02:56 PM,05:54 AM,08:20 AM,05:48 PM,-2,-5,1,-5,42,55,82,0.0,999,2,10,257,26
2009-01-09,1,-3,0.0,3.5,2,2,89,04:03 PM,07:03 AM,08:20 AM,05:49 PM,-7,-7,-1,-7,27,44,65,0.1,1016,1,10,298,19
2009-01-10,-1,-4,1.4,3.5,1,1,96,05:20 PM,08:02 AM,08:20 AM,05:50 PM,-5,-6,-2,-6,16,74,82,3.4,1023,-1,8,162,11
2009-01-11,1,-5,0.0,3.5,1,1,100,06:41 PM,08:49 AM,08:20 AM,05:51 PM,-3,-6,-1,-6,21,70,91,1.6,1013,1,9,287,14
2009-01-12,0,-6,0.0,8.7,2,2,89,08:00 PM,09:27 AM,08:19 AM,05:52 PM,-7,-8,-4,-8,18,23,77,0.0,1022,0,10,294,11
2009-01-13,3,-6,0.0,8.7,2,2,82,09:16 PM,09:57 AM,08:19 AM,05:53 PM,-3,-3,-1,-3,16,34,85,0.0,1017,3,10,186,9
2009-01-14,0,-9,0.0,8.7,2,2,75,10:27 PM,10:23 AM,08:19 AM,05:54 PM,-12,-11,-5,-11,24,20,62,0.0,1018,0,10,282,17
2009-01-15,-6,-9,0.4,3.5,1,1,68,11:36 PM,10:47 AM,08:18 AM,05:55 PM,-12,-13,-7,-13,20,73,66,0.5,1023,-6,8,184,15
2009-01-16,-8,-13,0.0,8.7,2,2,60,No moonrise,11:11 AM,08:18 AM,05:56 PM,-17,-17,-10,-17,24,23,60,0.0,1033,-8,10,282,17
2009-01-17,-8,-15,0.0,7.0,2,2,53,12:42 AM,11:36 AM,08:17 AM,05:57 PM,-15,-15,-11,-15,12,31,70,0.0,1033,-8,10,233,9
2009-01-18,-0,-7,0.6,7.0,1,1,46,01:48 AM,12:02 PM,08:17 AM,05:59 PM,-5,-5,-3,-5,11,76,82,0.7,1015,-0,9,142,6
2009-01-19,-0,-7,1.2,8.3,1,1,38,02:52 AM,12:32 PM,08:16 AM,06:00 PM,-5,-7,-4,-7,14,51,91,1.4,1005,-0,6,279,8
2009-01-20,-3,-8,0.0,9.9,2,2,31,03:54 AM,01:07 PM,08:16 AM,06:01 PM,-7,-11,-5,-11,25,17,86,0.0,1006,-3,9,330,16
2009-01-21,-5,-10,0.0,9.9,2,2,24,04:54 AM,01:49 PM,08:15 AM,06:02 PM,-10,-14,-7,-14,26,13,82,0.0,1014,-5,10,295,17
