date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-6,-13,0.0,8.7,2,2,31,11:10 AM,10:53 PM,08:24 AM,05:41 PM,-14,-17,-10,-17,30,30,70,0.0,1024,-6,10,309,21
2009-01-02,-1,-10,0.4,5.2,1,1,38,11:32 AM,11:57 PM,08:24 AM,05:42 PM,-7,-10,-5,-10,21,67,86,0.5,1013,-1,7,220,12
2009-01-03,-1,-7,0.0,8.7,2,2,45,11:53 AM,No moonset,08:24 AM,05:43 PM,-6,-10,-4,-10,37,16,85,0.0,1016,-1,10,304,23
2009-01-04,2,-9,0.0,8.7,2,2,52,12:17 PM,01:03 AM,08:24 AM,05:44 PM,-7,-8,-4,-8,21,22,77,0.1,1019,2,10,286,12
2009-01-05,4,-2,0.0,8.7,2,2,60,12:44 PM,02:12 AM,08:24 AM,05:45 PM,-1,-3,1,-3,23,44,87,0.1,1015,4,9,305,14
2009-01-06,-0,-4,2.6,8.7,2,2,67,01:18 PM,03:26 AM,08:24 AM,05:46 PM,-8,-5,-3,-5,10,48,68,3.1,1016,-0,9,162,7
2009-01-07,1,-3,0.8,3.5,1,1,74,02:00 PM,04:42 AM,08:24 AM,05:47 PM,-1,-5,-1,-5,22,96,97,11.9,995,1,7,155,15
2009-01-08,-1,-4,0.2,3.5,1,1,82,02:55 PM,05:58 AM,08:24 AM,05:48 PM,-4,-8,-2,-8,39,83,86,0.3,998,-1,8,265,26
2009-01-09,-2,-6,0.1,5.2,1,1,89,04:03 PM,07:08 AM,08:24 AM,05:49 PM,-8,-11,-5,-11,28,49,79,0.1,1017,-2,10,308,20
2009-01-10,-5,-8,5.2,3.5,2,2,96,05:20 PM,08:06 AM,08:24 AM,05:50 PM,-8,-10,-6,-10,13,75,89,6.1,1023,-5,7,185,9
2009-01-11,-4,-8,1.5,3.5,1,1,100,06:41 PM,08:53 AM,08:23 AM,05:51 PM,-7,-11,-6,-11,21,71,92,1.7,1014,-4,8,250,14
2009-01-12,-2,-9,0.0,8.7,2,2,89,08:01 PM,09:30 AM,08:23 AM,05:52 PM,-9,-11,-6,-11,16,22,84,0.0,1022,-2,10,294,10
2009-01-13,1,-7,0.1,5.2,2,2,82,09:17 PM,10:00 AM,08:23 AM,05:53 PM,-5,-7,-3,-7,20,62,89,0.1,1017,1,8,191,12
2009-01-14,-5,-12,0.1,7.0,2,2,75,10:29 PM,10:26 AM,08:22 AM,05:54 PM,-12,-16,-9,-16,23,46,78,0.1,1019,-5,9,286,17
2009-01-15,-9,-13,0.7,3.5,1,1,68,11:39 PM,10:49 AM,08:22 AM,05:55 PM,-12,-16,-10,-16,16,79,85,0.8,1024,-9,8,188,11
2009-01-16,-11,-16,0.1,5.2,2,2,60,No moonrise,11:13 AM,08:22 AM,05:57 PM,-17,-21,-13,-21,23,45,72,0.1,1033,-11,10,288,16
2009-01-17,-10,-19,0.0,7.0,2,2,53,12:45 AM,11:36 AM,08:21 AM,05:58 PM,-16,-19,-14,-19,13,36,84,0.0,1032,-10,10,226,9
2009-01-18,-4,-11,1.2,7.0,2,2,46,01:51 AM,12:02 PM,08:20 AM,05:59 PM,-8,-12,-7,-12,15,77,94,1.4,1015,-4,5,109,9
2009-01-19,-3,-12,1.0,8.3,1,1,38,02:55 AM,12:32 PM,08:20 AM,06:00 PM,-8,-11,-7,-11,14,44,95,1.2,1006,-3,4,273,8
2009-01-20,-5,-11,0.0,9.8,2,2,31,03:59 AM,01:07 PM,08:19 AM,06:01 PM,-10,-15,-8,-15,26,23,87,0.0,1007,-5,7,334,17
2009-01-21,-7,-12,0.0,9.8,2,2,24,04:59 AM,01:49 PM,08:19 AM,06:02 PM,-11,-16,-10,-16,23,24,92,0.0,1014,-7,9,302,15
2009-01-22,-1,-11,0.0,8.3,2,2,17,05:54 AM,02:37 PM,08:18 AM,06:03 PM,-6,-10,-5,-10,21,43,94,0.1,1016,-1,7,253,12
2009-01-23,5,-5,0.0,9.9,2,2,9,06:42 AM,03:33 PM,08:17 AM,06:05 PM,-1,-4,-0,-4,22,32,91,0.0,1013,5,7,216,12
2009-01-24,3,-11,0.0,9.9,2,2,2,07:24 AM,04:32 PM,08:17 AM,06:06 PM,-8,-11,-5,-11,32,37,76,0.1,1018,3,10,314,22
2009-01-25,-5,-13,0.0,9.9,2,2,0,07:58 AM,05:35 PM,08:16 AM,06:07 PM,-13,-14,-9,-14,14,27,75,0.0,1027,-5,9,284,10
2009-01-26,-6,-14,0.0,9.9,2,2,0,08:27 AM,06:39 PM,08:15 AM,06:08 PM,-11,-14,-10,-14,14,36,90,0.0,1030,-6,6,307,8
2009-01-27,-4,-9,0.0,10.0,2,2,5,08:53 AM,07:43 PM,08:14 AM,06:10 PM,-8,-10,-7,-10,11,41,91,0.0,1031,-4,7,275,6
2009-01-28,0,-7,6.9,5.0,1,1,12,09:16 AM,08:46 PM,08:13 AM,06:11 PM,-4,-9,-3,-9,31,93,97,13.1,1013,0,4,156,19
2009-01-29,-3,-7,0.0,10.0,2,2,20,09:37 AM,09:50 PM,08:13 AM,06:12 PM,-7,-11,-5,-11,27,33,87,0.0,1014,-3,9,282,17
2009-01-30,-1,-8,0.4,5.0,1,1,27,09:59 AM,10:55 PM,08:12 AM,06:13 PM,-6,-9,-4,-9,22,58,89,0.4,1013,-1,6,258,14
2009-01-31,-5,-11,0.0,10.0,2,2,31,10:21 AM,No moonset,08:11 AM,06:14 PM,-11,-14,-8,-14,26,38,77,0.1,1016,-5,10,273,17
2009-02-01,2,-8,0.0,10.0,1,1,43,10:47 AM,12:02 AM,08:10 AM,06:16 PM,-3,-7,-2,-7,25,52,96,0.0,1013,2,6,231,14
2009-02-02,6,-2,0.3,10.0,2,2,50,11:17 AM,01:13 AM,08:09 AM,06:17 PM,-1,-2,1,-2,18,42,88,0.4,1014,6,7,283,10
2009-02-03,-1,-5,2.6,5.1,1,1,58,11:54 AM,02:25 AM,08:08 AM,06:18 PM,-4,-7,-2,-7,21,95,92,3.1,1011,-1,6,191,14
2009-02-04,-5,-13,0.0,10.1,2,2,66,12:41 PM,03:39 AM,08:07 AM,06:19 PM,-11,-15,-9,-15,25,39,83,0.0,1018,-5,10,333,17
2009-02-05,-9,-14,0.1,6.7,1,1,73,01:41 PM,04:49 AM,08:06 AM,06:21 PM,-14,-20,-12,-20,29,46,89,0.1,1028,-9,10,320,20
2009-02-06,-2,-12,0.0,10.2,2,2,81,02:52 PM,05:51 AM,08:04 AM,06:22 PM,-10,-12,-7,-12,15,23,82,0.0,1029,-2,10,240,9
2009-02-07,6,-8,0.0,10.0,2,2,88,04:10 PM,06:41 AM,08:03 AM,06:23 PM,-2,-4,-0,-4,22,41,86,0.0,1023,6,9,216,12
2009-02-08,8,-2,0.0,10.0,2,2,96,05:30 PM,07:23 AM,08:02 AM,06:24 PM,3,0,4,0,37,35,91,1.4,1017,8,10,291,21
2009-02-09,4,-4,0.0,10.3,2,2,100,06:49 PM,07:56 AM,08:01 AM,06:26 PM,-3,-4,-1,-4,17,13,83,0.0,1028,4,10,278,10
2009-02-10,6,-1,0.0,6.8,1,1,89,08:04 PM,08:24 AM,08:00 AM,06:27 PM,1,0,2,0,14,57,89,0.0,1023,6,8,177,8
2009-02-11,14,4,0.0,8.5,2,2,82,09:16 PM,08:49 AM,07:59 AM,06:28 PM,7,6,8,6,17,73,96,0.0,1011,14,4,216,9
2009-02-12,11,3,0.0,5.4,2,2,74,10:26 PM,09:13 AM,07:57 AM,06:29 PM,4,1,6,1,53,77,84,3.2,997,11,7,263,33
2009-02-13,3,-4,0.0,10.8,2,2,67,11:34 PM,09:37 AM,07:56 AM,06:31 PM,-5,-6,0,-6,38,22,70,0.0,1012,3,9,315,26
2009-02-14,2,-4,0.1,10.0,2,2,59,No moonrise,10:03 AM,07:55 AM,06:32 PM,-9,-6,-2,-6,20,45,60,0.1,1015,2,9,305,14
2009-02-15,3,-5,0.0,10.8,2,2,51,12:41 AM,10:32 AM,07:54 AM,06:33 PM,-9,-7,-2,-7,26,6,62,0.0,1019,3,10,328,18
2009-02-16,2,-6,0.0,10.8,2,2,44,01:46 AM,11:05 AM,07:52 AM,06:34 PM,-8,-8,-3,-8,25,13,67,0.0,1022,2,10,341,17
2009-02-17,3,-7,0.0,10.9,2,2,36,02:48 AM,11:45 AM,07:51 AM,06:36 PM,-10,-6,-3,-6,13,14,63,0.0,1024,3,10,286,9
2009-02-18,2,-5,1.3,7.0,1,1,29,03:46 AM,12:31 PM,07:50 AM,06:37 PM,-4,-5,-1,-5,25,63,79,4.0,1010,2,9,167,16
2009-02-19,6,-7,0.0,7.0,1,1,21,04:37 AM,01:24 PM,07:48 AM,06:38 PM,-1,-3,1,-3,27,78,85,1.0,998,6,6,261,18
2009-02-20,-3,-8,0.0,5.5,1,1,14,05:21 AM,02:22 PM,07:47 AM,06:39 PM,-11,-13,-5,-13,37,87,64,0.2,1009,-3,7,278,28
2009-02-21,2,-5,0.0,11.0,2,2,6,05:58 AM,03:24 PM,07:45 AM,06:41 PM,-9,-7,-2,-7,23,32,61,0.0,1022,2,10,246,15
2009-02-22,0,-5,1.5,7.0,1,1,0,06:29 AM,04:27 PM,07:44 AM,06:42 PM,-4,-6,-2,-6,24,73,84,1.8,1015,0,6,219,16
2009-02-23,-3,-8,0.0,7.0,2,2,0,06:56 AM,05:32 PM,07:42 AM,06:43 PM,-11,-14,-6,-14,42,70,66,0.2,1020,-3,6,304,31
2009-02-24,-2,-9,0.0,11.0,2,2,0,07:20 AM,06:36 PM,07:41 AM,06:44 PM,-10,-13,-6,-13,32,39,77,0.0,1028,-2,9,318,22
2009-02-25,4,-10,0.0,11.1,2,2,1,07:43 AM,07:41 PM,07:39 AM,06:45 PM,-10,-7,-3,-7,16,16,63,0.0,1030,4,10,246,9
2009-02-26,6,-4,0.0,8.6,1,1,9,08:04 AM,08:46 PM,07:38 AM,06:47 PM,-1,-2,1,-2,14,51,87,0.0,1026,6,9,201,8
2009-02-27,10,-1,0.0,5.6,2,2,16,08:27 AM,09:54 PM,07:36 AM,06:48 PM,6,3,6,3,38,83,94,7.8,1015,10,7,195,20
2009-02-28,2,-5,0.0,11.1,2,2,24,08:52 AM,11:04 PM,07:35 AM,06:49 PM,-6,-7,-1,-7,29,32,71,0.0,1022,2,10,222,21
2009-03-01,1,-4,2.2,10.1,2,2,30,09:21 AM,No moonset,07:33 AM,06:50 PM,-8,-6,-2,-6,17,60,63,2.6,1020,1,9,32,12
2009-03-02,-6,-13,1.0,7.1,1,1,37,09:55 AM,12:16 AM,07:32 AM,06:51 PM,-10,-17,-9,-17,41,86,91,2.8,1017,-6,7,257,28
