date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-1,-5,0.0,8.7,2,2,31,11:08 AM,10:52 PM,08:18 AM,05:46 PM,-13,-9,-3,-9,27,4,45,0.0,1024,-1,10,306,21
2009-01-02,4,-3,0.0,7.0,2,2,38,11:30 AM,11:55 PM,08:18 AM,05:47 PM,-4,-2,2,-2,30,30,63,0.0,1015,4,10,221,19
2009-01-03,4,-0,0.0,8.7,2,2,45,11:53 AM,No moonset,08:18 AM,05:48 PM,-5,-2,2,-2,29,6,61,0.0,1017,4,10,298,19
2009-01-04,5,-2,0.0,8.7,2,2,52,12:18 PM,01:00 AM,08:18 AM,05:49 PM,-5,-2,2,-2,21,24,61,0.0,1020,5,10,278,14
2009-01-05,8,4,0.0,8.7,3,3,60,12:47 PM,02:08 AM,08:18 AM,05:49 PM,3,4,6,4,18,47,80,0.0,1015,8,10,284,11
2009-01-06,6,4,0.0,3.5,1,1,67,01:22 PM,03:20 AM,08:18 AM,05:50 PM,-1,1,4,1,23,83,70,0.8,1015,6,9,94,16
2009-01-07,9,5,0.0,3.5,2,2,74,02:06 PM,04:35 AM,08:18 AM,05:51 PM,6,5,7,5,27,92,94,1.4,995,9,9,202,16
2009-01-08,6,0,0.0,8.7,2,2,82,03:01 PM,05:50 AM,08:18 AM,05:52 PM,-2,-2,4,-2,42,15,68,0.0,1001,6,10,269,28
2009-01-09,3,-1,0.0,8.7,2,2,89,04:09 PM,06:59 AM,08:18 AM,05:53 PM,-7,-5,1,-5,30,10,57,0.0,1018,3,10,291,22
2009-01-10,5,-0,0.0,7.0,1,1,96,05:26 PM,07:58 AM,08:17 AM,05:54 PM,-2,-0,2,-0,17,67,73,1.3,1022,5,10,172,11
2009-01-11,7,-1,0.0,5.2,2,2,100,06:45 PM,08:46 AM,08:17 AM,05:55 PM,0,-2,3,-2,29,65,84,1.7,1013,7,9,297,20
2009-01-12,2,-2,0.0,8.7,2,2,89,08:04 PM,09:25 AM,08:17 AM,05:56 PM,-7,-4,-0,-4,19,19,61,0.0,1022,2,10,299,15
2009-01-13,6,0,0.0,7.0,2,2,82,09:18 PM,09:56 AM,08:17 AM,05:57 PM,-1,0,3,0,19,27,76,0.8,1018,6,9,200,12
2009-01-14,3,-4,0.0,8.7,2,2,75,10:28 PM,10:24 AM,08:16 AM,05:58 PM,-11,-7,-2,-7,24,18,51,0.0,1019,3,10,282,18
2009-01-15,1,-5,0.0,3.5,2,2,68,11:36 PM,10:49 AM,08:16 AM,05:59 PM,-9,-7,-2,-7,25,60,61,0.0,1023,1,10,289,19
2009-01-16,-7,-9,0.0,9.8,2,2,60,No moonrise,11:13 AM,08:16 AM,06:00 PM,-16,-15,-8,-15,27,14,50,0.0,1034,-7,10,302,21
2009-01-17,-3,-11,0.0,9.9,2,2,53,12:41 AM,11:39 AM,08:15 AM,06:02 PM,-16,-13,-8,-13,19,29,51,0.0,1033,-3,10,255,14
2009-01-18,3,-1,0.0,4.9,1,1,46,01:46 AM,12:06 PM,08:15 AM,06:03 PM,-5,-2,2,-2,22,82,64,0.0,1015,3,10,214,15
2009-01-19,3,-1,0.3,8.3,2,2,38,02:49 AM,12:37 PM,08:14 AM,06:04 PM,-2,-2,1,-2,15,35,83,0.3,1005,3,9,249,10
2009-01-20,-1,-4,0.0,9.9,2,2,31,03:51 AM,01:13 PM,08:14 AM,06:05 PM,-8,-8,-2,-8,27,13,68,0.0,1006,-1,10,333,21
2009-01-21,-2,-6,0.0,9.9,2,2,24,04:50 AM,01:55 PM,08:13 AM,06:06 PM,-11,-10,-4,-10,28,11,59,0.0,1015,-2,10,302,21
