date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-4,-10,0.0,8.7,2,2,31,11:07 AM,10:50 PM,08:20 AM,05:39 PM,-13,-14,-7,-14,28,16,60,0.0,1023,-4,10,307,20
2009-01-02,-1,-7,0.2,3.5,2,2,38,11:28 AM,11:54 PM,08:20 AM,05:40 PM,-7,-7,-3,-7,21,77,77,0.2,1014,-1,8,226,12
2009-01-03,2,-4,0.0,8.7,2,2,45,11:50 AM,No moonset,08:20 AM,05:41 PM,-5,-6,-1,-6,33,10,77,0.0,1015,2,10,292,21
2009-01-04,4,-6,0.0,8.7,2,2,52,12:14 PM,12:59 AM,08:20 AM,05:42 PM,-7,-5,-1,-5,20,12,67,0.0,1019,4,10,280,12
2009-01-05,6,-0,0.0,8.7,2,2,60,12:42 PM,02:09 AM,08:20 AM,05:43 PM,0,-0,2,-0,18,46,87,0.0,1015,6,9,287,11
2009-01-06,1,-2,0.0,7.0,2,2,67,01:16 PM,03:22 AM,08:20 AM,05:44 PM,-5,-3,0,-3,12,46,70,0.0,1016,1,10,133,8
2009-01-07,3,0,0.0,3.5,1,1,74,01:58 PM,04:38 AM,08:20 AM,05:45 PM,2,-2,2,-2,26,90,96,0.8,995,3,6,144,16
2009-01-08,2,-2,0.0,3.5,1,1,82,02:53 PM,05:54 AM,08:20 AM,05:46 PM,-2,-6,0,-6,40,60,83,0.0,998,2,10,258,25
2009-01-09,0,-4,0.0,7.0,2,2,89,04:01 PM,07:03 AM,08:20 AM,05:47 PM,-8,-8,-2,-8,28,30,66,0.0,1016,0,10,301,20
2009-01-10,-2,-5,0.2,3.5,1,1,96,05:18 PM,08:02 AM,08:20 AM,05:48 PM,-6,-7,-3,-7,14,70,79,0.3,1023,-2,9,161,10
2009-01-11,-0,-5,0.0,3.5,1,1,100,06:39 PM,08:49 AM,08:19 AM,05:49 PM,-3,-6,-2,-6,19,77,90,0.5,1013,-0,8,250,13
2009-01-12,-0,-7,0.0,8.7,2,2,89,07:59 PM,09:26 AM,08:19 AM,05:50 PM,-7,-7,-4,-7,15,22,78,0.0,1022,-0,10,298,10
