date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-5,-12,0.0,8.7,2,2,31,11:09 AM,10:51 PM,08:23 AM,05:41 PM,-14,-16,-9,-16,28,26,67,0.0,1023,-5,10,309,19
2009-01-02,-1,-10,0.1,5.2,1,1,38,11:30 AM,11:55 PM,08:23 AM,05:41 PM,-7,-9,-5,-9,19,68,84,0.1,1013,-1,8,214,11
2009-01-03,1,-6,0.0,8.7,2,2,45,11:52 AM,No moonset,08:23 AM,05:42 PM,-5,-9,-3,-9,34,10,83,0.0,1016,1,10,300,20
2009-01-04,3,-8,0.0,8.7,2,2,52,12:15 PM,01:02 AM,08:23 AM,05:43 PM,-7,-7,-3,-7,19,20,74,0.0,1019,3,10,281,11
2009-01-05,4,-2,0.0,8.7,2,2,60,12:43 PM,02:11 AM,08:23 AM,05:44 PM,-1,-2,1,-2,19,49,88,0.0,1015,4,7,301,11
2009-01-06,0,-4,0.0,8.7,2,2,67,01:17 PM,03:25 AM,08:23 AM,05:45 PM,-7,-4,-2,-4,9,44,69,0.0,1016,0,10,153,6
2009-01-07,2,-2,0.4,3.5,1,1,74,02:00 PM,04:40 AM,08:23 AM,05:46 PM,-0,-4,0,-4,23,93,97,0.7,995,2,7,147,15
2009-01-08,0,-3,0.0,3.5,1,1,82,02:54 PM,05:56 AM,08:22 AM,05:47 PM,-3,-7,-1,-7,37,71,87,0.0,998,0,10,260,23
2009-01-09,-1,-6,0.0,7.0,2,2,89,04:02 PM,07:06 AM,08:22 AM,05:48 PM,-8,-9,-4,-9,27,36,75,0.0,1016,-1,10,305,18
2009-01-10,-4,-7,0.2,3.5,1,1,96,05:19 PM,08:04 AM,08:22 AM,05:49 PM,-8,-9,-5,-9,13,74,84,0.3,1023,-4,8,174,9
2009-01-11,-2,-7,0.1,3.5,1,1,100,06:40 PM,08:51 AM,08:22 AM,05:50 PM,-6,-9,-4,-9,19,65,92,0.1,1013,-2,7,248,13
2009-01-12,-1,-9,0.0,8.7,2,2,89,08:00 PM,09:28 AM,08:21 AM,05:51 PM,-8,-10,-6,-10,15,21,82,0.0,1022,-1,10,293,9
2009-01-13,2,-7,0.0,7.0,2,2,82,09:16 PM,09:59 AM,08:21 AM,05:52 PM,-4,-6,-3,-6,17,48,89,0.0,1017,2,8,190,10
2009-01-14,-3,-11,0.0,8.7,2,2,75,10:28 PM,10:24 AM,08:21 AM,05:53 PM,-12,-14,-8,-14,23,31,74,0.0,1018,-3,10,282,16
2009-01-15,-8,-12,0.1,3.5,1,1,68,11:37 PM,10:48 AM,08:20 AM,05:55 PM,-12,-15,-9,-15,17,78,80,0.1,1024,-8,10,187,12
2009-01-16,-10,-15,0.0,5.2,2,2,60,No moonrise,11:11 AM,08:20 AM,05:56 PM,-16,-19,-12,-19,20,46,70,0.0,1033,-10,10,283,14
2009-01-17,-9,-18,0.0,7.0,2,2,53,12:44 AM,11:35 AM,08:19 AM,05:57 PM,-16,-17,-13,-17,11,34,78,0.0,1033,-9,10,226,8
2009-01-18,-3,-10,0.3,7.0,1,1,46,01:49 AM,12:01 PM,08:19 AM,05:58 PM,-7,-10,-6,-10,14,74,92,0.3,1015,-3,7,139,8
2009-01-19,-2,-10,0.0,5.3,1,1,38,02:54 AM,12:31 PM,08:18 AM,05:59 PM,-7,-9,-6,-9,12,46,94,0.0,1005,-2,5,271,7
2009-01-20,-4,-10,0.0,9.8,2,2,31,03:57 AM,01:06 PM,08:18 AM,06:00 PM,-9,-13,-7,-13,23,17,86,0.0,1007,-4,8,332,15
2009-01-21,-6,-12,0.0,9.8,1,1,24,04:57 AM,01:48 PM,08:17 AM,06:01 PM,-10,-15,-9,-15,22,16,91,0.0,1014,-6,7,297,13
2009-01-22,-0,-10,0.0,8.3,1,1,17,05:52 AM,02:36 PM,08:16 AM,06:03 PM,-6,-10,-5,-10,21,43,93,0.0,1016,-0,7,248,13
2009-01-23,5,-6,0.0,9.9,2,2,9,06:40 AM,03:32 PM,08:16 AM,06:04 PM,-1,-3,-0,-3,21,28,91,0.0,1014,5,7,210,11
2009-01-24,3,-10,0.0,9.9,2,2,2,07:22 AM,04:31 PM,08:15 AM,06:05 PM,-7,-9,-3,-9,31,30,75,0.0,1018,3,9,311,20
2009-01-25,-4,-12,0.0,9.9,2,2,0,07:57 AM,05:34 PM,08:14 AM,06:06 PM,-13,-12,-8,-12,14,28,70,0.0,1027,-4,10,279,10
2009-01-26,-5,-13,0.0,9.9,2,2,0,08:26 AM,06:38 PM,08:14 AM,06:07 PM,-11,-13,-9,-13,14,38,85,0.0,1030,-5,9,299,8
2009-01-27,-4,-8,0.0,10.0,2,2,5,08:51 AM,07:41 PM,08:13 AM,06:09 PM,-8,-9,-6,-9,10,44,89,0.0,1031,-4,8,270,6
2009-01-28,1,-6,0.2,5.0,1,1,12,09:14 AM,08:45 PM,08:12 AM,06:10 PM,-3,-7,-2,-7,29,92,97,0.3,1013,1,7,144,17
2009-01-29,-1,-6,0.0,10.0,2,2,20,09:36 AM,09:49 PM,08:11 AM,06:11 PM,-6,-9,-4,-9,25,24,85,0.0,1014,-1,9,278,15
2009-01-30,-0,-7,0.2,6.7,1,1,27,09:58 AM,10:53 PM,08:10 AM,06:12 PM,-5,-8,-4,-8,20,55,89,0.2,1013,-0,5,250,12
2009-01-31,-4,-10,0.0,8.3,2,2,31,10:20 AM,No moonset,08:09 AM,06:14 PM,-11,-13,-7,-13,25,37,76,0.0,1016,-4,10,272,16
2009-02-01,3,-8,0.0,10.0,1,1,43,10:46 AM,12:01 AM,08:08 AM,06:15 PM,-3,-6,-2,-6,24,38,96,0.0,1014,3,6,225,12
2009-02-02,8,-3,0.0,10.1,2,2,50,11:16 AM,01:11 AM,08:07 AM,06:16 PM,-1,-1,1,-1,18,33,86,0.0,1014,8,8,285,9
2009-02-03,-0,-4,0.3,5.1,1,1,58,11:53 AM,02:24 AM,08:06 AM,06:17 PM,-3,-7,-2,-7,22,97,92,0.4,1010,-0,8,186,15
2009-02-04,-4,-12,0.0,10.1,2,2,66,12:41 PM,03:37 AM,08:05 AM,06:18 PM,-10,-13,-7,-13,23,38,76,0.0,1017,-4,10,334,16
2009-02-05,-8,-14,0.0,6.7,1,1,73,01:40 PM,04:47 AM,08:04 AM,06:20 PM,-13,-19,-11,-19,28,42,84,0.0,1027,-8,10,314,18
2009-02-06,-2,-12,0.0,10.2,2,2,81,02:51 PM,05:49 AM,08:03 AM,06:21 PM,-10,-11,-7,-11,15,24,83,0.0,1029,-2,10,233,9
2009-02-07,6,-8,0.0,10.0,2,2,88,04:09 PM,06:40 AM,08:02 AM,06:22 PM,-2,-3,-0,-3,19,32,87,0.0,1024,6,9,214,11
2009-02-08,8,-2,0.0,10.0,2,2,96,05:29 PM,07:21 AM,08:01 AM,06:23 PM,3,1,5,1,35,31,91,0.0,1017,8,10,285,19
