date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-4,-10,0.0,8.7,2,2,31,11:08 AM,10:51 PM,08:22 AM,05:41 PM,-14,-14,-8,-14,28,22,61,0.0,1023,-4,10,306,19
2009-01-02,-1,-8,0.1,5.2,2,2,38,11:30 AM,11:55 PM,08:22 AM,05:42 PM,-7,-8,-4,-8,20,65,77,0.1,1013,-1,9,215,11
2009-01-03,2,-5,0.0,8.7,2,2,45,11:52 AM,No moonset,08:22 AM,05:43 PM,-5,-7,-2,-7,32,5,78,0.0,1016,2,10,295,19
2009-01-04,4,-7,0.0,8.7,2,2,52,12:16 PM,01:01 AM,08:22 AM,05:44 PM,-8,-6,-2,-6,19,20,65,0.0,1019,4,10,279,12
2009-01-05,5,-1,0.0,8.7,2,2,60,12:44 PM,02:10 AM,08:22 AM,05:45 PM,0,-1,2,-1,17,46,87,0.1,1015,5,9,296,10
2009-01-06,1,-2,0.1,7.0,2,2,67,01:18 PM,03:24 AM,08:22 AM,05:46 PM,-6,-3,-1,-3,11,48,69,1.9,1016,1,9,140,7
2009-01-07,3,-1,0.0,3.5,1,1,74,02:01 PM,04:39 AM,08:22 AM,05:47 PM,1,-3,1,-3,25,90,97,12.1,995,3,8,146,16
2009-01-08,1,-3,0.0,3.5,2,2,82,02:55 PM,05:55 AM,08:21 AM,05:48 PM,-3,-6,-0,-6,39,62,85,0.1,998,1,10,258,24
2009-01-09,-0,-5,0.0,5.2,2,2,89,04:03 PM,07:04 AM,08:21 AM,05:49 PM,-7,-8,-3,-8,26,38,71,0.1,1016,-0,10,302,18
2009-01-10,-3,-6,2.5,3.5,1,1,96,05:20 PM,08:03 AM,08:21 AM,05:50 PM,-6,-7,-4,-7,13,72,83,4.8,1023,-3,7,167,9
2009-01-11,-2,-6,0.0,3.5,1,1,100,06:41 PM,08:50 AM,08:21 AM,05:51 PM,-4,-7,-3,-7,19,66,92,0.6,1013,-2,8,291,13
2009-01-12,-0,-8,0.0,8.7,2,2,89,08:01 PM,09:28 AM,08:21 AM,05:52 PM,-7,-8,-4,-8,15,18,81,0.0,1022,-0,10,292,10
2009-01-13,3,-7,0.0,7.0,2,2,82,09:17 PM,09:58 AM,08:20 AM,05:53 PM,-3,-4,-2,-4,16,48,88,0.0,1017,3,9,190,9
2009-01-14,-1,-10,0.0,8.7,2,2,75,10:28 PM,10:24 AM,08:20 AM,05:54 PM,-12,-13,-7,-13,23,24,69,0.0,1018,-1,10,283,16
2009-01-15,-7,-11,0.5,3.5,1,1,68,11:37 PM,10:48 AM,08:19 AM,05:55 PM,-12,-14,-8,-14,18,71,74,0.6,1024,-7,8,185,13
2009-01-16,-9,-14,0.1,5.2,2,2,60,No moonrise,11:12 AM,08:19 AM,05:56 PM,-16,-18,-11,-18,20,36,66,0.1,1033,-9,10,281,15
2009-01-17,-9,-17,0.0,7.0,2,2,53,12:43 AM,11:36 AM,08:19 AM,05:58 PM,-15,-16,-11,-16,10,33,74,0.0,1033,-9,10,227,8
2009-01-18,-2,-9,0.9,8.7,2,2,46,01:49 AM,12:02 PM,08:18 AM,05:59 PM,-6,-8,-4,-8,13,73,87,1.0,1015,-2,8,135,8
2009-01-19,-1,-9,1.4,8.3,1,1,38,02:53 AM,12:32 PM,08:17 AM,06:00 PM,-6,-8,-5,-8,12,48,93,1.6,1005,-1,4,275,7
2009-01-20,-3,-9,0.0,9.8,2,2,31,03:56 AM,01:07 PM,08:17 AM,06:01 PM,-8,-12,-6,-12,23,15,86,0.0,1007,-3,8,331,15
2009-01-21,-5,-11,0.0,9.9,2,2,24,04:55 AM,01:49 PM,08:16 AM,06:02 PM,-10,-14,-8,-14,23,15,88,0.0,1014,-5,10,295,14
2009-01-22,1,-9,0.0,9.9,2,2,17,05:51 AM,02:37 PM,08:16 AM,06:03 PM,-6,-9,-4,-9,23,21,90,0.0,1016,1,10,246,14
2009-01-23,5,-6,0.0,9.9,2,2,9,06:39 AM,03:33 PM,08:15 AM,06:04 PM,-1,-3,1,-3,21,26,90,0.0,1014,5,7,209,11
2009-01-24,3,-8,0.0,9.9,2,2,2,07:21 AM,04:32 PM,08:14 AM,06:06 PM,-6,-8,-2,-8,31,38,74,0.0,1018,3,9,310,20
2009-01-25,-3,-11,0.0,9.9,2,2,0,07:56 AM,05:35 PM,08:13 AM,06:07 PM,-13,-11,-6,-11,13,29,62,0.0,1027,-3,10,283,10
