date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-3,-9,0.0,8.7,2,2,31,11:10 AM,10:54 PM,08:23 AM,05:45 PM,-15,-12,-6,-12,26,17,48,0.0,1024,-3,10,299,18
2009-01-02,1,-7,0.0,5.2,2,2,38,11:32 AM,11:57 PM,08:23 AM,05:45 PM,-8,-7,-3,-7,22,50,67,0.0,1014,1,10,209,12
2009-01-03,3,-3,0.0,8.7,2,2,45,11:54 AM,No moonset,08:23 AM,05:46 PM,-6,-6,-1,-6,28,1,69,0.0,1017,3,10,295,17
2009-01-04,5,-5,0.0,8.7,2,2,52,12:18 PM,01:03 AM,08:23 AM,05:47 PM,-9,-4,-0,-4,18,25,53,0.0,1020,5,10,275,11
2009-01-05,7,-0,0.0,8.7,2,2,60,12:47 PM,02:12 AM,08:23 AM,05:48 PM,1,0,3,0,17,44,85,0.1,1016,7,9,293,10
2009-01-06,1,-1,0.0,5.2,1,1,67,01:21 PM,03:25 AM,08:23 AM,05:49 PM,-5,-3,-0,-3,15,61,69,1.7,1016,1,9,95,10
2009-01-07,3,-0,1.0,3.5,1,1,74,02:04 PM,04:40 AM,08:23 AM,05:50 PM,1,-2,2,-2,27,89,96,15.7,995,3,7,143,17
2009-01-08,2,-2,0.0,5.2,2,2,82,02:59 PM,05:56 AM,08:22 AM,05:51 PM,-3,-6,0,-6,41,53,81,0.0,1000,2,10,258,25
2009-01-09,1,-4,0.1,3.5,2,2,89,04:07 PM,07:05 AM,08:22 AM,05:52 PM,-7,-7,-2,-7,25,47,65,0.1,1017,1,9,290,17
2009-01-10,-1,-4,1.6,5.2,2,2,96,05:24 PM,08:04 AM,08:22 AM,05:53 PM,-5,-6,-3,-6,16,68,84,3.3,1022,-1,8,131,11
2009-01-11,-0,-6,0.0,5.2,1,1,100,06:44 PM,08:51 AM,08:22 AM,05:54 PM,-4,-7,-2,-7,22,59,89,0.1,1013,-0,8,288,15
2009-01-12,0,-7,0.0,8.7,2,2,89,08:04 PM,09:29 AM,08:22 AM,05:55 PM,-8,-8,-4,-8,17,29,76,0.0,1023,0,10,289,11
2009-01-13,3,-6,0.0,8.7,2,2,82,09:19 PM,10:00 AM,08:21 AM,05:56 PM,-4,-5,-1,-5,18,34,85,0.0,1017,3,9,189,10
2009-01-14,-1,-9,0.0,8.7,2,2,75,10:30 PM,10:26 AM,08:21 AM,05:57 PM,-13,-11,-6,-11,22,21,59,0.0,1019,-1,10,288,15
2009-01-15,-5,-10,0.2,3.5,1,1,68,11:39 PM,10:50 AM,08:20 AM,05:58 PM,-13,-13,-7,-13,21,69,64,0.3,1024,-5,9,222,14
2009-01-16,-9,-13,0.0,8.7,2,2,60,No moonrise,11:14 AM,08:20 AM,05:59 PM,-17,-18,-11,-18,26,16,59,0.0,1034,-9,10,283,18
