date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-3,-7,0.0,8.7,2,2,31,11:07 AM,10:51 PM,08:19 AM,05:42 PM,-14,-12,-5,-12,31,16,51,0.0,1023,-3,10,305,23
2009-01-02,1,-5,0.0,7.0,2,2,38,11:29 AM,11:54 PM,08:19 AM,05:43 PM,-7,-5,-1,-5,27,49,66,0.0,1014,1,10,228,16
2009-01-03,3,-2,0.0,8.7,2,2,45,11:51 AM,No moonset,08:19 AM,05:44 PM,-5,-5,0,-5,36,2,68,0.0,1016,3,10,291,22
2009-01-04,5,-4,0.0,8.7,2,2,52,12:15 PM,12:59 AM,08:19 AM,05:45 PM,-8,-4,0,-4,26,16,56,0.0,1019,5,10,279,16
2009-01-05,7,2,0.0,8.7,2,2,60,12:44 PM,02:08 AM,08:19 AM,05:46 PM,2,1,4,1,20,36,83,0.0,1015,7,10,286,12
2009-01-06,3,1,0.1,5.2,1,1,67,01:18 PM,03:21 AM,08:19 AM,05:47 PM,-4,-2,2,-2,21,63,68,1.4,1016,3,9,134,13
2009-01-07,7,3,0.0,3.5,1,1,74,02:01 PM,04:36 AM,08:19 AM,05:47 PM,4,2,5,2,27,97,95,11.4,995,7,6,142,17
2009-01-08,3,-1,0.0,8.7,2,2,82,02:57 PM,05:52 AM,08:19 AM,05:48 PM,-2,-4,2,-4,46,29,77,0.0,999,3,10,262,29
2009-01-09,1,-3,0.0,3.5,1,1,89,04:04 PM,07:01 AM,08:19 AM,05:49 PM,-7,-6,-1,-6,31,44,63,0.0,1017,1,10,296,22
2009-01-10,2,-2,0.8,7.0,2,2,96,05:21 PM,08:00 AM,08:18 AM,05:50 PM,-4,-5,-1,-5,17,60,80,3.0,1023,2,8,169,11
2009-01-11,3,-3,0.0,3.5,1,1,100,06:41 PM,08:47 AM,08:18 AM,05:51 PM,-2,-5,-0,-5,23,79,90,2.2,1013,3,9,282,16
