date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-4,-11,0.0,8.7,2,2,31,11:11 AM,10:54 PM,08:24 AM,05:44 PM,-14,-15,-8,-15,29,23,61,0.0,1024,-4,10,305,20
2009-01-02,-0,-9,0.1,5.2,2,2,38,11:33 AM,11:58 PM,08:24 AM,05:45 PM,-8,-8,-4,-8,22,52,76,0.1,1013,-0,8,214,12
2009-01-03,1,-5,0.0,8.7,2,2,45,11:54 AM,No moonset,08:24 AM,05:45 PM,-6,-8,-2,-8,34,5,77,0.0,1017,1,10,302,21
2009-01-04,4,-7,0.0,8.7,2,2,52,12:18 PM,01:04 AM,08:24 AM,05:46 PM,-9,-6,-2,-6,21,26,62,0.0,1020,4,10,283,12
2009-01-05,5,-1,0.0,8.7,2,2,60,12:46 PM,02:13 AM,08:24 AM,05:47 PM,-1,-2,2,-2,21,37,85,0.1,1015,5,9,305,12
2009-01-06,0,-3,0.2,5.2,2,2,67,01:20 PM,03:26 AM,08:24 AM,05:48 PM,-7,-4,-2,-4,13,53,67,2.4,1016,0,9,106,8
2009-01-07,2,-2,0.0,3.5,1,1,74,02:03 PM,04:42 AM,08:24 AM,05:49 PM,0,-4,1,-4,26,93,97,11.0,995,2,6,148,16
2009-01-08,0,-3,0.1,3.5,1,1,82,02:58 PM,05:57 AM,08:24 AM,05:50 PM,-3,-7,-1,-7,41,72,84,0.1,999,0,9,262,26
2009-01-09,-1,-5,0.1,3.5,2,2,89,04:05 PM,07:07 AM,08:24 AM,05:51 PM,-7,-9,-3,-9,27,54,72,0.1,1017,-1,9,301,18
2009-01-10,-3,-6,3.1,3.5,1,1,96,05:23 PM,08:05 AM,08:23 AM,05:52 PM,-6,-8,-5,-8,14,74,87,5.2,1023,-3,7,175,10
2009-01-11,-2,-7,0.0,5.2,1,1,100,06:43 PM,08:52 AM,08:23 AM,05:53 PM,-5,-9,-4,-9,23,59,91,0.0,1014,-2,8,292,15
2009-01-12,-1,-8,0.0,8.7,2,2,89,08:03 PM,09:30 AM,08:23 AM,05:54 PM,-8,-10,-5,-10,17,22,81,0.0,1023,-1,10,290,11
2009-01-13,2,-7,0.0,5.2,2,2,82,09:19 PM,10:00 AM,08:23 AM,05:55 PM,-4,-6,-3,-6,19,52,87,0.0,1017,2,9,190,11
2009-01-14,-3,-11,0.0,8.7,2,2,75,10:30 PM,10:26 AM,08:22 AM,05:56 PM,-12,-14,-8,-14,24,27,70,0.0,1019,-3,10,286,16
2009-01-15,-7,-12,0.5,3.5,1,1,68,11:39 PM,10:50 AM,08:22 AM,05:58 PM,-12,-14,-9,-14,18,74,76,0.6,1024,-7,8,181,13
2009-01-16,-10,-15,0.1,8.7,2,2,60,No moonrise,11:14 AM,08:21 AM,05:59 PM,-17,-20,-12,-20,25,31,68,0.1,1034,-10,10,285,17
2009-01-17,-9,-17,0.0,8.2,2,2,53,12:45 AM,11:38 AM,08:21 AM,06:00 PM,-17,-18,-13,-18,14,35,75,0.0,1033,-9,10,225,9
2009-01-18,-2,-10,0.8,8.3,2,2,46,01:51 AM,12:04 PM,08:20 AM,06:01 PM,-8,-10,-6,-10,17,67,86,1.0,1015,-2,8,102,10
2009-01-19,-3,-11,1.5,8.3,1,1,38,02:55 AM,12:34 PM,08:20 AM,06:02 PM,-8,-10,-7,-10,13,41,92,1.8,1006,-3,5,278,7
